% {"flow_id": 6969, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["randomforestclassifier__bootstrap", "randomforestclassifier__criterion", "randomforestclassifier__max_depth", "randomforestclassifier__max_features", "randomforestclassifier__max_leaf_nodes", "randomforestclassifier__min_samples_leaf", "randomforestclassifier__min_samples_split", "randomforestclassifier__min_weight_fraction_leaf", "randomforestclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 500}
@RELATION openml-meta-flow-6969

@ATTRIBUTE classifier__bootstrap {True, False}
@ATTRIBUTE classifier__criterion {entropy, gini}
@ATTRIBUTE classifier__max_depth {None}
@ATTRIBUTE classifier__max_features NUMERIC
@ATTRIBUTE classifier__max_leaf_nodes {None}
@ATTRIBUTE classifier__min_samples_leaf {18, 20, 2, 7, 3, 6, 16, 14, 9, 15, 4, 8, 17, 12, 10, 13, 5, 11, 19, 1}
@ATTRIBUTE classifier__min_samples_split {9, 19, 15, 2, 4, 10, 18, 20, 5, 8, 3, 17, 7, 14, 6, 12, 16, 11, 13}
@ATTRIBUTE classifier__min_weight_fraction_leaf NUMERIC
@ATTRIBUTE classifier__n_estimators {100}
@ATTRIBUTE imputation__strategy {median, most_frequent, mean}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
True,entropy,None,0.8026968345397216,None,18,9,0.0,100,median,0.96965,3
True,gini,None,0.19289557814659136,None,20,19,0.0,100,median,0.968085,3
False,gini,None,0.7434098103353922,None,2,15,0.0,100,median,0.993429,3
False,gini,None,0.33483541911442627,None,7,2,0.0,100,median,0.987484,3
False,gini,None,0.7008381256855997,None,3,4,0.0,100,most_frequent,0.992804,3
False,entropy,None,0.1710654320087831,None,20,4,0.0,100,mean,0.970588,3
True,gini,None,0.5824246996314486,None,2,10,0.0,100,median,0.994055,3
False,gini,None,0.45705362727012033,None,6,18,0.0,100,most_frequent,0.990613,3
True,entropy,None,0.7689873935067694,None,16,4,0.0,100,mean,0.973717,3
False,gini,None,0.6460992187082335,None,7,20,0.0,100,most_frequent,0.986233,3
False,entropy,None,0.2342306192672238,None,14,18,0.0,100,median,0.981852,3
True,gini,None,0.19096282325080588,None,9,2,0.0,100,mean,0.975907,3
True,entropy,None,0.733314472224986,None,15,15,0.0,100,median,0.973717,3
False,gini,None,0.27029146443011776,None,7,5,0.0,100,mean,0.986233,3
True,gini,None,0.4394670636869007,None,4,8,0.0,100,median,0.991239,3
True,entropy,None,0.3436213894277884,None,8,3,0.0,100,mean,0.980601,3
False,gini,None,0.5167657715511209,None,17,19,0.0,100,median,0.977785,3
False,gini,None,0.8908958944905233,None,9,17,0.0,100,most_frequent,0.976533,3
False,gini,None,0.2535907133350884,None,6,7,0.0,100,median,0.989675,3
True,entropy,None,0.853503079361312,None,9,14,0.0,100,most_frequent,0.984043,3
False,entropy,None,0.15612647627147186,None,20,17,0.0,100,most_frequent,0.969337,3
True,gini,None,0.21154196537183767,None,18,14,0.0,100,most_frequent,0.966834,3
True,entropy,None,0.39899131543476185,None,20,3,0.0,100,most_frequent,0.968398,3
True,gini,None,0.35866129341214215,None,2,6,0.0,100,mean,0.993429,3
True,entropy,None,0.6780627249240594,None,20,18,0.0,100,median,0.96965,3
False,entropy,None,0.7716778717088355,None,14,4,0.0,100,most_frequent,0.979349,3
False,entropy,None,0.33094649453955105,None,20,12,0.0,100,mean,0.974969,3
True,entropy,None,0.5110047851571016,None,12,2,0.0,100,mean,0.977785,3
False,entropy,None,0.3668825668329906,None,8,5,0.0,100,mean,0.98592,3
True,gini,None,0.23041265927164584,None,10,3,0.0,100,mean,0.974343,3
False,entropy,None,0.11368075755974215,None,13,10,0.0,100,mean,0.974656,3
True,gini,None,0.2765608387521,None,3,9,0.0,100,mean,0.989362,3
False,gini,None,0.8695084359585554,None,16,16,0.0,100,mean,0.976533,3
True,entropy,None,0.7906768607589583,None,20,5,0.0,100,most_frequent,0.969962,3
True,entropy,None,0.787155194288211,None,17,20,0.0,100,median,0.971527,3
False,gini,None,0.8012269708934907,None,5,20,0.0,100,mean,0.989362,3
True,gini,None,0.4076839048272507,None,5,14,0.0,100,most_frequent,0.986546,3
True,gini,None,0.24511227732018226,None,20,7,0.0,100,median,0.967146,3
True,entropy,None,0.8458589300704519,None,2,12,0.0,100,most_frequent,0.993116,3
